FIPS_Code,Less_hschool_diploma_2015_2019,Hschool_diploma_only_2015_2019,some_college,Fouryr_college_degree_or_higher,Value,state,county_name,total_votes,winning_party
,,,,,,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,317323,DEMOCRAT
,,,,,,RHODE ISLAND,FEDERAL PRECINCT,85,REPUBLICAN
0,"26,472,261","59,472,748","63,756,905",32.1,39490096,,,,
1000,"458,922","1,022,839","993,344",25.5,747478,,,,
1001,"4,291","12,551","10,596",26.6,6723,ALABAMA,AUTAUGA,7503,DEMOCRAT
1003,"13,893","41,797","47,274",31.9,22360,ALABAMA,BALDWIN,83544,REPUBLICAN
1005,"4,812","6,396","4,676",11.6,5909,ALABAMA,BARBOUR,5622,REPUBLICAN
1007,"3,386","7,256","3,848",10.4,4101,ALABAMA,BIBB,7525,REPUBLICAN
1009,"7,763","13,299","13,519",13.1,9324,ALABAMA,BLOUNT,2640,DEMOCRAT
1011,"1,798","2,860","1,587",12.1,2537,ALABAMA,BULLOCK,3446,DEMOCRAT
1013,"2,066","6,244","3,279",16.1,4124,ALABAMA,BUTLER,5458,REPUBLICAN
1015,"12,315","25,940","26,233",18.5,18988,ALABAMA,CALHOUN,35101,REPUBLICAN
1017,"4,372","8,739","7,515",13.3,6415,ALABAMA,CHAMBERS,8753,REPUBLICAN
1019,"3,478","7,598","5,391",12.8,4121,ALABAMA,CHEROKEE,1624,DEMOCRAT
1021,"5,474","13,348","7,401",12.7,7044,ALABAMA,CHILTON,3073,DEMOCRAT
1023,"1,737","3,515","2,964",11.9,2811,ALABAMA,CHOCTAW,4296,REPUBLICAN
1025,"3,259","7,005","4,456",12.2,4281,ALABAMA,CLARKE,7324,REPUBLICAN
1027,"2,205","3,577","2,678",10.6,2156,ALABAMA,CLAY,5601,REPUBLICAN
1029,"2,198","3,980","2,687",15.4,1945,ALABAMA,CLEBURNE,675,DEMOCRAT
1031,"4,967","9,615","12,667",22.8,7734,ALABAMA,COFFEE,5076,DEMOCRAT
1033,"5,783","14,740","11,366",18.1,7998,ALABAMA,COLBERT,8343,DEMOCRAT
1035,"1,384","4,516","1,805",12.8,2662,ALABAMA,CONECUH,3442,REPUBLICAN
1037,"1,652","3,327","2,221",12.8,1789,ALABAMA,COOSA,3631,REPUBLICAN
1039,"4,366","9,819","8,119",15.3,6269,ALABAMA,COVINGTON,2721,DEMOCRAT
1041,"2,016","3,830","2,157",17.4,2289,ALABAMA,CRENSHAW,4864,REPUBLICAN
1043,"10,648","19,668","19,406",13.9,10088,ALABAMA,CULLMAN,4478,DEMOCRAT
1045,"4,651","10,819","11,961",18.1,8727,ALABAMA,DALE,5170,DEMOCRAT
1047,"4,757","9,411","8,178",14.7,9533,ALABAMA,DALLAS,5524,REPUBLICAN
1049,"12,072","16,431","13,241",13,12848,ALABAMA,DEKALB,4281,DEMOCRAT
1051,"7,503","18,232","16,298",25.1,8753,ALABAMA,ELMORE,30164,REPUBLICAN
1053,"4,878","11,308","6,449",12.5,6980,ALABAMA,ESCAMBIA,4918,DEMOCRAT
1055,"11,127","23,668","24,422",17.8,18801,ALABAMA,ETOWAH,35528,REPUBLICAN
1057,"2,037","4,831","3,387",12.4,2721,ALABAMA,FAYETTE,7300,REPUBLICAN
1059,"4,739","7,601","5,539",14,4989,ALABAMA,FRANKLIN,2086,DEMOCRAT
1061,"3,672","6,714","5,943",12.5,4180,ALABAMA,GENEVA,1595,DEMOCRAT
1063,"1,204","2,237","1,766",10.1,2553,ALABAMA,GREENE,875,REPUBLICAN
1065,"1,587","4,303","2,620",14.2,2956,ALABAMA,HALE,4663,DEMOCRAT
1067,"2,509","3,961","3,622",17.1,2919,ALABAMA,HENRY,6607,REPUBLICAN
1069,"10,076","22,558","23,893",21.7,20207,ALABAMA,HOUSTON,32618,REPUBLICAN
1071,"6,218","15,177","10,429",14,7481,ALABAMA,JACKSON,3717,DEMOCRAT
1073,"44,684","118,636","136,299",33.4,104288,ALABAMA,JEFFERSON,181688,DEMOCRAT
1075,"1,737","3,912","3,014",11.9,2070,ALABAMA,LAMAR,978,DEMOCRAT
1077,"8,026","22,873","17,759",23.5,14193,ALABAMA,LAUDERDALE,31721,REPUBLICAN
1079,"4,825","9,605","5,954",12.6,5773,ALABAMA,LAWRENCE,3562,DEMOCRAT
1081,"8,849","23,026","30,907",35.3,24731,ALABAMA,LEE,42221,REPUBLICAN
1083,"10,098","20,044","18,829",25.7,11535,ALABAMA,LIMESTONE,34640,REPUBLICAN
1085,"1,529","2,800","1,696",14.7,2555,ALABAMA,LOWNDES,4972,DEMOCRAT
1087,"2,190","3,633","3,760",20.4,4817,ALABAMA,MACON,7108,DEMOCRAT
1089,"20,562","51,126","70,137",42.8,41789,ALABAMA,MADISON,87286,DEMOCRAT
1091,"2,118","4,970","3,895",16.1,4601,ALABAMA,MARENGO,5488,DEMOCRAT
1093,"4,345","7,408","6,804",12.8,4883,ALABAMA,MARION,1463,DEMOCRAT
1095,"11,761","19,920","19,887",19.4,14989,ALABAMA,MARSHALL,5943,DEMOCRAT
1097,"37,736","94,715","81,698",23.2,71784,ALABAMA,MOBILE,79474,DEMOCRAT
1099,"2,113","6,952","3,670",13.5,4770,ALABAMA,MONROE,6147,REPUBLICAN
1101,"19,978","37,648","42,690",33.4,34268,ALABAMA,MONTGOMERY,64529,DEMOCRAT
1103,"13,137","25,075","25,790",22.4,16146,ALABAMA,MORGAN,39664,REPUBLICAN
1105,"1,010","2,172","1,361",22.8,2778,ALABAMA,PERRY,3860,DEMOCRAT
1107,"2,680","5,388","4,380",14.1,4380,ALABAMA,PICKENS,5594,REPUBLICAN
1109,"2,901","6,899","4,918",23.7,6742,ALABAMA,PIKE,8042,REPUBLICAN
1111,"3,213","5,502","4,454",16.5,3906,ALABAMA,RANDOLPH,8559,REPUBLICAN
1113,"6,297","12,237","13,449",17.8,10823,ALABAMA,RUSSELL,9864,REPUBLICAN
1115,"9,488","21,849","20,207",16.1,9780,ALABAMA,ST. CLAIR,7744,DEMOCRAT
1117,"10,658","28,835","43,503",42.9,13428,ALABAMA,SHELBY,79700,REPUBLICAN
1119,"1,076","2,860","2,408",21.6,4195,ALABAMA,SUMTER,4648,DEMOCRAT
1121,"11,014","18,881","17,721",15,13326,ALABAMA,TALLADEGA,22235,REPUBLICAN
1123,"5,546","9,376","8,458",18.4,6341,ALABAMA,TALLAPOOSA,5859,DEMOCRAT
1125,"15,036","38,580","35,780",30.7,32226,ALABAMA,TUSCALOOSA,51117,REPUBLICAN
1127,"8,141","16,796","14,765",11.3,10837,ALABAMA,WALKER,4834,DEMOCRAT
1129,"1,971","4,886","3,052",12.7,2998,ALABAMA,WASHINGTON,6564,REPUBLICAN
1131,"1,675","2,808","1,742",12.5,3329,ALABAMA,WILCOX,4048,DEMOCRAT
1133,"3,635","6,556","4,764",12.8,3882,ALABAMA,WINSTON,974,DEMOCRAT
2000,"34,376","134,582","169,609",29.6,73033,,,,
,,,,,,ALASKA,DISTRICT 1,3511,REPUBLICAN
,,,,,,ALASKA,DISTRICT 2,3674,REPUBLICAN
,,,,,,ALASKA,DISTRICT 3,6076,REPUBLICAN
,,,,,,ALASKA,DISTRICT 4,5345,DEMOCRAT
,,,,,,ALASKA,DISTRICT 5,4204,DEMOCRAT
,,,,,,ALASKA,DISTRICT 6,5770,REPUBLICAN
,,,,,,ALASKA,DISTRICT 7,7027,REPUBLICAN
,,,,,,ALASKA,DISTRICT 8,7618,REPUBLICAN
,,,,,,ALASKA,DISTRICT 9,7787,REPUBLICAN
2010,,,,,,ALASKA,DISTRICT 10,8081,REPUBLICAN
,,,,,,ALASKA,DISTRICT 11,7096,REPUBLICAN
,,,,,,ALASKA,DISTRICT 12,7893,REPUBLICAN
2013,380,"1,137",798,11.5,492,ALASKA,DISTRICT 13,4652,REPUBLICAN
,,,,,,ALASKA,DISTRICT 14,6714,REPUBLICAN
,,,,,,ALASKA,DISTRICT 15,2671,REPUBLICAN
2016,435,"1,611","1,378",17,414,ALASKA,DISTRICT 16,4274,DEMOCRAT
,,,,,,ALASKA,DISTRICT 17,4136,DEMOCRAT
,,,,,,ALASKA,DISTRICT 18,4681,DEMOCRAT
,,,,,,ALASKA,DISTRICT 19,3118,DEMOCRAT
2020,"11,701","44,936","65,951",36.1,26636,ALASKA,DISTRICT 20,4881,DEMOCRAT
,,,,,,ALASKA,DISTRICT 21,5414,DEMOCRAT
,,,,,,ALASKA,DISTRICT 22,4684,REPUBLICAN
,,,,,,ALASKA,DISTRICT 23,3810,DEMOCRAT
,,,,,,ALASKA,DISTRICT 24,5378,REPUBLICAN
,,,,,,ALASKA,DISTRICT 25,4600,DEMOCRAT
,,,,,,ALASKA,DISTRICT 26,5243,REPUBLICAN
,,,,,,ALASKA,DISTRICT 27,4844,DEMOCRAT
,,,,,,ALASKA,DISTRICT 28,6264,DEMOCRAT
,,,,,,ALASKA,DISTRICT 29,7464,REPUBLICAN
,,,,,,ALASKA,DISTRICT 30,7180,REPUBLICAN
,,,,,,ALASKA,DISTRICT 31,6971,REPUBLICAN
,,,,,,ALASKA,DISTRICT 32,4440,REPUBLICAN
,,,,,,ALASKA,DISTRICT 33,7535,DEMOCRAT
,,,,,,ALASKA,DISTRICT 34,5763,DEMOCRAT
,,,,,,ALASKA,DISTRICT 35,5011,DEMOCRAT
